존 출근통행발생량 인구수 가구수 취업자수
1 6,100 22,100 5,500 9,800
2 4,400 16,000 4,000 7,100
3 2,700 10,000 2,500 4,500
4 2,700 9,900 2,400 4,400
5 7,000 25,500 6,300 11,400
6 6,100 22,300 5,500 10,000
7 15,100 54,800 13,700 24,500
8 3,300 12,000 3,000 5,300
9 1,800 8,700 2,100 3,900
10 1,000 5,000 1,200 2,200
11 700 3,200 800 1,400
12 2,200 10,500 2,600 4,700
13 3,500 16,700 4,100 7,400
14 2,500 11,800 2,900 5,200
15 3,700 12,500 3,100 5,800
16 12,000 38,000 9,500 18,500
17 4,300 18,000 4,500 9,000
18 1,000 4,400 1,100 2,100
19 26,000 88,000 22,000 41,300
20 5,100 20,400 5,100 10,000
