RDC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TTL
551,1990521,2062739,2729793,2113577,2017543,2783779,2353689,2299358,2703468,2305043,2713675,2951071,29024255
553,3050266,3127649,4141677,3227196,3080562,4246687,3585674,3502905,4252244,3675587,4022299,4408574,44321318
554,2031526,2079266,2748917,2127337,2030678,2804208,2360042,2335914,2758959,2350537,2776659,3006309,29410351
555,3410949,3427786,4531743,3532851,3372329,4678737,3965776,3895413,4754772,4103534,4507885,4930188,49111963
556,2198411,2284086,3019701,2340530,2234184,3084821,2599256,2539256,2982458,2545781,2997091,3259280,32084854
557,3032192,3120175,4139119,3213243,3067243,4232808,3571429,3488989,4103331,3511308,4133784,4495412,44109035
558,2172291,2280358,3014772,2333078,2227070,3068363,2574978,2515540,2950342,2515534,2961482,3220556,31834364
559,2313589,2398124,3170467,2455633,2344057,3277975,2723124,2679235,3139235,2679134,3153941,3427382,33761896
560,3048832,3082562,4091235,3163722,3019972,4168669,3518110,3473249,4115076,3528193,4164951,4513429,43887998
578,2976806,3112080,4114359,3184029,3039356,4187497,3520899,3439625,4038414,3447171,4058276,4413299,43531812
579,3046829,3092625,4088639,3168720,3024744,4245776,3524739,3505185,4125795,3526180,4160716,4507121,44017069
580,2424912,2536267,3353099,2594903,2476999,3414596,2866876,2800699,3290510,2808072,3305880,3595083,35467897
587,2114000,2219167,2933874,2270472,2167309,2986027,2505882,2448038,2871173,2448033,2882014,3134136,30980124
588,2324927,2440587,3226605,2497012,2383555,3283962,2755910,2692294,3157648,2692288,3169570,3446849,34071207
589,2581712,2650123,3503625,2715762,2592366,3571653,3008363,2968299,3503152,2987721,3526500,3822171,37431448
590,2487070,2590036,3428241,2654721,2534099,3495143,2946104,2878098,3377866,2880052,3390620,3687236,36349285
593,2514071,2573161,3401755,2634430,2518896,3479158,2930216,2918124,3546742,3021412,3333616,3625246,36496827
594,2195333,2294768,3033824,2347821,2241144,3090144,2596756,2536814,2976983,2542218,2992895,3254718,32103418
3801,1982079,2074300,2742352,2122257,2025828,2791100,2342299,2288231,2688337,2295267,2702166,2938555,28992770
3802,2675474,2725762,3606664,2794167,2667209,3757305,3127054,3085584,3613903,3098186,3647192,3962255,38760754
3803,2060710,2122010,2805427,2171069,2072423,2855297,2396173,2370240,2798601,2384395,2816219,3049753,29902316
3804,2048878,2140113,2829360,2191922,2092328,2882721,2421646,2365746,2778103,2372621,2793233,3037589,29954259
3806,2751394,2812072,3730430,2901616,2769775,3830657,3234135,3159480,3823649,3306157,3637004,3983973,39940341
3808,1801059,1853687,2450688,1914008,1827041,2517220,2127699,2078585,2439307,2085644,2455382,2670182,26220502
3809,1929079,1954024,2585854,2012654,1921205,2716824,2250095,2221869,2610720,2233863,2629697,2856659,27922542
3811,1861015,1953597,2582774,1998762,1907945,2628686,2206000,2155078,2527577,2155074,2537120,2759071,27272699
