2010 CARTON PLAN,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
OUTBOUND,,,,,,,,,,,,,,,,
RDC,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,TTL,,,
551," 1,861,678 "," 2,439,494 "," 1,844,308 "," 1,768,223 "," 2,420,677 "," 2,061,023 "," 2,191,952 "," 2,394,568 "," 1,943,544 "," 2,410,013 "," 3,139,437 "," 1,804,643 "," 26,279,561 ",,,
553," 2,822,788 "," 3,701,231 "," 2,816,052 "," 2,699,879 "," 3,692,772 "," 3,139,819 "," 3,339,280 "," 3,766,381 "," 3,099,146 "," 3,572,201 "," 4,689,972 "," 2,765,427 "," 40,104,947 ",,,
554," 1,876,594 "," 2,456,583 "," 1,856,315 "," 1,779,735 "," 2,438,442 "," 2,066,587 "," 2,226,801 "," 2,443,719 "," 1,981,903 "," 2,465,950 "," 3,198,201 "," 1,841,819 "," 26,632,647 ",,,
555," 3,093,670 "," 4,049,815 "," 3,082,767 "," 2,955,591 "," 4,068,467 "," 3,472,659 "," 3,713,454 "," 4,211,490 "," 3,459,978 "," 4,003,451 "," 5,244,880 "," 3,092,429 "," 44,448,650 ",,,
556," 2,061,449 "," 2,698,571 "," 2,042,347 "," 1,958,093 "," 2,682,453 "," 2,276,056 "," 2,420,645 "," 2,641,681 "," 2,146,527 "," 2,661,715 "," 3,467,320 "," 1,993,120 "," 29,049,975 ",,,
557," 2,816,042 "," 3,698,945 "," 2,803,877 "," 2,688,206 "," 3,680,703 "," 3,127,346 "," 3,326,014 "," 3,634,483 "," 2,960,631 "," 3,671,211 "," 4,782,354 "," 2,749,041 "," 39,938,853 ",,,
558," 2,058,085 "," 2,694,166 "," 2,035,845 "," 1,951,858 "," 2,668,142 "," 2,254,797 "," 2,398,036 "," 2,613,235 "," 2,121,024 "," 2,630,090 "," 3,426,123 "," 1,969,439 "," 28,820,839 ",,,
559," 2,164,372 "," 2,833,304 "," 2,142,786 "," 2,054,388 "," 2,850,413 "," 2,384,521 "," 2,554,085 "," 2,780,545 "," 2,258,967 "," 2,801,013 "," 3,646,151 "," 2,097,542 "," 30,568,088 ",,,
560," 2,782,095 "," 3,656,152 "," 2,760,665 "," 2,646,777 "," 3,624,929 "," 3,080,656 "," 3,311,010 "," 3,644,885 "," 2,974,868 "," 3,698,890 "," 4,801,521 "," 2,764,127 "," 39,746,576 ",,,
578," 2,808,736 "," 3,676,818 "," 2,778,384 "," 2,663,765 "," 3,641,302 "," 3,083,099 "," 3,278,956 "," 3,576,983 "," 2,906,552 "," 3,604,153 "," 4,694,999 "," 2,698,827 "," 39,412,576 ",,,
579," 2,791,177 "," 3,653,833 "," 2,765,027 "," 2,650,958 "," 3,691,979 "," 3,086,461 "," 3,341,454 "," 3,654,380 "," 2,973,170 "," 3,695,130 "," 4,794,810 "," 2,762,311 "," 39,860,691 ",,,
580," 2,289,049 "," 2,996,514 "," 2,264,313 "," 2,170,902 "," 2,969,214 "," 2,510,400 "," 2,669,876 "," 2,914,535 "," 2,367,683 "," 2,935,950 "," 3,824,556 "," 2,198,470 "," 32,111,462 ",,,
587," 2,002,858 "," 2,621,871 "," 1,981,215 "," 1,899,482 "," 2,596,545 "," 2,194,292 "," 2,333,687 "," 2,543,111 "," 2,064,109 "," 2,559,515 "," 3,334,187 "," 1,916,591 "," 28,047,464 ",,,
