RDC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TTL
551,1804643,1861678,2439494,1844308,1768223,2420677,2061023,2191952,2394568,1943544,2410013,3139437,26279561
553,2765427,2822788,3701231,2816052,2699879,3692772,3139819,3339280,3766381,3099146,3572201,4689972,40104947
554,1841819,1876594,2456583,1856315,1779735,2438442,2066587,2226801,2443719,1981903,2465950,3198201,26632647
555,3092429,3093670,4049815,3082767,2955591,4068467,3472659,3713454,4211490,3459978,4003451,5244880,44448650
556,1993120,2061449,2698571,2042347,1958093,2682453,2276056,2420645,2641681,2146527,2661715,3467320,29049975
557,2749041,2816042,3698945,2803877,2688206,3680703,3127346,3326014,3634483,2960631,3671211,4782354,39938853
558,1969439,2058085,2694166,2035845,1951858,2668142,2254797,2398036,2613235,2121024,2630090,3426123,28820839
559,2097542,2164372,2833304,2142786,2054388,2850413,2384521,2554085,2780545,2258967,2801013,3646151,30568088
560,2764127,2782095,3656152,2760665,2646777,3624929,3080656,3311010,3644885,2974868,3698890,4801521,39746576
578,2698827,2808736,3676818,2778384,2663765,3641302,3083099,3278956,3576983,2906552,3604153,4694999,39412576
579,2762311,2791177,3653833,2765027,2650958,3691979,3086461,3341454,3654380,2973170,3695130,4794810,39860691
580,2198470,2289049,2996514,2264313,2170902,2969214,2510400,2669876,2914535,2367683,2935950,3824556,32111462
587,1916591,2002858,2621871,1981215,1899482,2596545,2194292,2333687,2543111,2064109,2559515,3334187,28047464
588,2107821,2202696,2883472,2178893,2089005,2855619,2413231,2566534,2796854,2270058,2814894,3666860,30845937
589,2340627,2391808,3131032,2369775,2272012,3105785,2634293,2829647,3102881,2519158,3131883,4066139,33895040
590,2254823,2337577,3063665,2316510,2220945,3039255,2579776,2743659,2991910,2428374,3011208,3922591,32910293
593,2279303,2322348,3039995,2298804,2207621,3025355,2565864,2781815,3141489,2547565,2960583,3856645,33027387
594,1990330,2071090,2711192,2048710,1964192,2687081,2273867,2418317,2636832,2143523,2657989,3462466,29065588
3801,1796989,1872112,2450717,1851882,1775485,2427044,2051050,2181345,2381166,1935301,2399792,3126122,26249004
3802,2425633,2460074,3223114,2438191,2337606,3267221,2738226,2941453,3200977,2612298,3239069,4215165,35099028
3803,1868277,1915172,2507084,1894476,1816321,2482867,2098225,2259524,2478832,2010451,2501082,3244418,27076728
3804,1857550,1931510,2528472,1912672,1833766,2506714,2120531,2255240,2460676,2000524,2480669,3231477,27119800
3806,2494464,2537971,3333717,2531951,2427498,3331006,2831992,3011897,3386757,2787654,3230021,4238270,36143198
3808,1632873,1673003,2190069,1670164,1601263,2188887,1863134,1981491,2160591,1758553,2180623,2840619,23741272
3809,1748939,1763560,2310861,1756242,1683790,2362456,1970311,2118082,2312418,1883527,2335432,3038999,25284618
3811,1687231,1763174,2308109,1744121,1672169,2285814,1931699,2054412,2238775,1817094,2253215,2935181,24690994
