ID,STORE,NAME,X,Y,CLASS,CLIMATE,FOOD,DC,MILES,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TTL
1 ,3 ,CRYSTAL,-93.38,45.06,B,1,Y,551 ,15 ,33468 ,33309 ,43604 ,34596 ,33169 ,45342 ,38317 ,40751 ,44408 ,36044 ,44695 ,58222 ,485926 
2 ,4 ,DULUTH,-92.22,46.84,A+,1,Y,551 ,148 ,54660 ,57120 ,74774 ,56503 ,54172 ,74052 ,62580 ,66556 ,72528 ,58867 ,72996 ,95089 ,799899 
3 ,5 ,BLOOMINGTON,-93.31,44.83,A,1,Y,590 ,200 ,41714 ,41516 ,54347 ,43120 ,41341 ,56513 ,47758 ,50792 ,55350 ,44924 ,55707 ,72567 ,605648 
4 ,12 ,BRIDGETON,-90.43,38.77,C,1,Y,3809 ,281 ,30082 ,31436 ,41152 ,31097 ,29814 ,40755 ,34441 ,36629 ,39916 ,32398 ,40174 ,52333 ,440227 
5 ,13 ,N.DALLAS,-96.79,32.94,C,4,Y,578 ,97 ,21721 ,21618 ,28300 ,21385 ,20502 ,28026 ,23685 ,25189 ,27450 ,23393 ,29008 ,37788 ,308065 
6 ,18 ,COLORADO SPRINGS,-104.77,38.85,D,1, ,554 ,47 ,12350 ,12906 ,16895 ,12766 ,12240 ,16731 ,14139 ,15038 ,16387 ,13301 ,16493 ,21485 ,180731 
7 ,19 ,TULSA,-95.9,36.15,B,4, ,3803 ,218 ,29590 ,30921 ,40478 ,30587 ,29325 ,40087 ,33877 ,36029 ,39262 ,31867 ,39515 ,51475 ,433014 
8 ,24 ,GREENFIELD,-87.94,42.96,C,1, ,557 ,37 ,24233 ,25323 ,33150 ,25050 ,24016 ,32830 ,27744 ,29506 ,32154 ,26098 ,32361 ,42156 ,354621 
9 ,26 ,BALLWIN,-90.56,38.6,B,1, ,559 ,252 ,28937 ,30239 ,39585 ,29912 ,28678 ,39203 ,33130 ,35234 ,38396 ,31164 ,38644 ,50340 ,423462 
10 ,41 ,S.DENVER,-105.11,39.66,D,1, ,554 ,114 ,14613 ,15271 ,19991 ,15106 ,14483 ,19798 ,16731 ,17794 ,19390 ,15738 ,19515 ,25422 ,213853 
11 ,43 ,OKLAHOMA CITY N,-97.58,35.52,B,4, ,3803 ,291 ,29542 ,30871 ,40413 ,30538 ,29278 ,40022 ,33822 ,35971 ,39199 ,31816 ,39452 ,51392 ,432315 
12 ,44 ,OKLAHOMA CITY S,-97.53,35.43,D,4, ,3803 ,294 ,16563 ,17309 ,22658 ,17122 ,16415 ,22439 ,18963 ,20168 ,21977 ,17838 ,22119 ,28814 ,242385 
13 ,48 ,ARVADA,-105.07,39.83,C,1,Y,554 ,123 ,24834 ,24716 ,32355 ,24449 ,23440 ,32042 ,28432 ,30239 ,32952 ,26746 ,33165 ,43203 ,356573 
14 ,52 ,LAKE ST.,-93.22,44.94,B,1,Y,551 ,19 ,35621 ,37224 ,51165 ,36822 ,35303 ,48258 ,40782 ,43373 ,47265 ,38363 ,47570 ,61968 ,523714 
15 ,55 ,MEDALLION,-96.74,32.83,B,4,Y,578 ,89 ,37952 ,37772 ,49446 ,37364 ,35822 ,48968 ,41382 ,44011 ,50358 ,40873 ,50683 ,66023 ,540653 
16 ,57 ,NORTHRIDGE,-88.04,43.16,D,1, ,557 ,30 ,21670 ,22645 ,29644 ,22401 ,21477 ,29358 ,24810 ,26386 ,28754 ,23338 ,28939 ,37698 ,317120 
17 ,61 ,FARGO,-96.82,46.86,AA,1,Y,551 ,232 ,62253 ,65055 ,85161 ,64352 ,61697 ,84338 ,71273 ,75800 ,82603 ,67044 ,83135 ,108298 ,911008 
18 ,64 ,BOULDER,-105.2,40.05,AA,1,Y,554 ,143 ,58424 ,58147 ,76118 ,57518 ,55145 ,79151 ,66889 ,71139 ,77523 ,62921 ,78023 ,101637 ,842635 
19 ,67 ,PLANO,-96.74,33.02,C,4,Y,578 ,101 ,21784 ,21680 ,28381 ,21446 ,20561 ,28107 ,23753 ,25261 ,28905 ,23461 ,29091 ,37896 ,310326 
20 ,68 ,E ST. PAUL,-93.05,44.96,C,1,Y,551 ,23 ,27296 ,27166 ,35562 ,26872 ,25764 ,35218 ,31251 ,33236 ,36218 ,29397 ,36452 ,47485 ,391916 
21 ,69 ,W.DES MOINES,-93.79,41.57,B,1, ,590 ,118 ,28390 ,29668 ,38837 ,29347 ,28136 ,38462 ,32503 ,34568 ,37670 ,30575 ,37913 ,49388 ,415458 
22 ,75 ,WESTCHASE,-95.56,29.74,C,7,Y,578 ,216 ,20944 ,21887 ,28651 ,21650 ,20757 ,28375 ,23979 ,25502 ,27791 ,22556 ,27970 ,36435 ,306497 
23 ,76 ,SIOUX FALLS,-96.84,43.52,A+,1, ,590 ,283 ,51523 ,53842 ,70483 ,53261 ,51063 ,69802 ,58989 ,62736 ,68366 ,55489 ,68807 ,89632 ,753994 
24 ,78 ,ALTON,-90.13,38.94,C,1, ,3809 ,262 ,27084 ,28303 ,37051 ,27997 ,26842 ,36693 ,31009 ,32978 ,35938 ,29169 ,36170 ,47117 ,396351 
25 ,79 ,FT.COLLINS,-105.03,40.53,B,1, ,554 ,170 ,27317 ,28547 ,37370 ,28239 ,27074 ,37009 ,31276 ,33262 ,36247 ,29420 ,36481 ,47523 ,399765 
26 ,80 ,WICHITA FALLS,-98.54,33.86,C,4, ,3803 ,433 ,19735 ,20623 ,26997 ,20401 ,19559 ,26737 ,22595 ,24030 ,26186 ,21254 ,26355 ,34332 ,288804 
27 ,82 ,WAUKESHA,-88.21,43.02,B,1, ,557 ,22 ,32153 ,33600 ,43985 ,33237 ,31866 ,43560 ,36812 ,39150 ,42664 ,34628 ,42939 ,55935 ,470529 
28 ,83 ,LUBBOCK,-101.87,33.48,C,4, ,3801 ,328 ,23529 ,24588 ,32187 ,24322 ,23319 ,31876 ,26938 ,28649 ,31220 ,25340 ,31422 ,40932 ,344321 
29 ,84 ,CARROLLTON,-96.9,33.01,D,4, ,578 ,108 ,13339 ,13939 ,18248 ,13789 ,13220 ,18071 ,15272 ,16242 ,17699 ,14366 ,17814 ,23205 ,195203 
30 ,85 ,MINOT,-101.31,48.1,C,1, ,551 ,502 ,28694 ,29985 ,39253 ,29661 ,28438 ,38874 ,32851 ,34938 ,38074 ,30902 ,38319 ,49917 ,419907 
31 ,86 ,DUBUQUE,-90.67,42.43,C,1, ,3809 ,130 ,27333 ,28563 ,37391 ,28255 ,27089 ,37030 ,31293 ,33281 ,36268 ,29437 ,36502 ,47550 ,399993 
32 ,90 ,MEMPHIS CENTRAL,-89.91,35.12,A+,4,Y,580 ,202 ,41147 ,40952 ,53609 ,40509 ,38838 ,53091 ,44866 ,47716 ,51998 ,44314 ,54950 ,71582 ,583572 
33 ,92 ,WICHITA E,-97.23,37.67,D,1, ,3803 ,131 ,13052 ,13640 ,17856 ,13493 ,12936 ,17683 ,14944 ,15893 ,17319 ,14057 ,17431 ,22707 ,191011 
34 ,93 ,GRAND JUNCTION,-108.6,39.19,B,1, ,554 ,301 ,26716 ,27918 ,36547 ,27617 ,26477 ,36194 ,30587 ,32530 ,35449 ,28772 ,35678 ,46476 ,390961 
35 ,95 ,AUSTIN N,-97.71,30.39,C,7, ,578 ,229 ,19114 ,19974 ,26147 ,19758 ,18943 ,25895 ,21883 ,23273 ,25362 ,20585 ,25526 ,33251 ,279713 
36 ,96 ,AUSTIN S,-97.77,30.24,B,7, ,578 ,239 ,28745 ,30039 ,39323 ,29714 ,28489 ,38943 ,32910 ,35001 ,38142 ,30958 ,38388 ,50006 ,420658 
37 ,100 ,RIDGEDALE,-93.43,44.96,AA,1,Y,590 ,213 ,50795 ,50554 ,66178 ,50008 ,47945 ,68816 ,58155 ,61850 ,67400 ,54705 ,67835 ,88366 ,732607 
38 ,107 ,ANDERSON,-85.68,40.05,D,1, ,559 ,53 ,13942 ,14570 ,19072 ,14412 ,13818 ,18888 ,15962 ,16976 ,18499 ,15015 ,18619 ,24254 ,204027 
39 ,108 ,EVANSVILLE N,-87.58,38.03,B,2, ,559 ,155 ,29751 ,31090 ,40699 ,30754 ,29486 ,40306 ,34062 ,36226 ,39477 ,32041 ,39731 ,51756 ,435380 
40 ,111 ,KOKOMO,-86.09,40.44,D,1, ,559 ,63 ,15321 ,16011 ,20959 ,15838 ,15185 ,20757 ,17541 ,18656 ,20330 ,16501 ,20461 ,26654 ,224213 
41 ,120 ,DIXIE HIGHWAY,-85.87,38.15,D,2, ,559 ,139 ,13406 ,14010 ,18340 ,13858 ,13287 ,18163 ,15349 ,16324 ,17789 ,14438 ,17904 ,23322 ,196190 
42 ,137 ,BLOOMINGTON/NORMAL,-88.99,40.54,B,1, ,3809 ,112 ,30214 ,31574 ,41333 ,31233 ,29944 ,40933 ,34592 ,36789 ,40091 ,32540 ,40349 ,52562 ,442154 
43 ,139 ,NEW ALBANY,-85.85,38.29,C,2, ,559 ,126 ,19608 ,20490 ,26823 ,20269 ,19433 ,26564 ,22449 ,23875 ,26017 ,21117 ,26185 ,34110 ,286940 
44 ,144 ,RIVERGATE,-86.7,36.25,C,4, ,580 ,129 ,19515 ,20393 ,26696 ,20173 ,19341 ,26438 ,22343 ,23762 ,25894 ,21017 ,26061 ,33949 ,285583 
45 ,145 ,HICKORY HOLLOW,-86.64,36.04,D,4, ,580 ,118 ,13636 ,14250 ,18654 ,14096 ,13514 ,18474 ,15612 ,16603 ,18093 ,14685 ,18210 ,23722 ,199549 
46 ,146 ,WHITE BRIDGE,-86.87,36.11,A,4,Y,580 ,119 ,38469 ,40201 ,52626 ,39766 ,38126 ,52117 ,44043 ,46841 ,51045 ,41430 ,51374 ,66923 ,562962 
47 ,147 ,ARAPAHOE,-104.86,39.57,C,1,Y,554 ,99 ,22984 ,22875 ,29944 ,22627 ,21694 ,29655 ,26314 ,27986 ,30497 ,24753 ,30694 ,39984 ,330005 
48 ,151 ,KNOXVILLE S,-84,35.92,B,4, ,3811 ,197 ,28523 ,29806 ,39019 ,29484 ,28268 ,38642 ,32655 ,34730 ,37846 ,30718 ,38091 ,49619 ,417401 
49 ,152 ,RACINE,-87.87,42.73,C,1, ,557 ,55 ,23229 ,24274 ,31777 ,24012 ,23021 ,31470 ,26594 ,28284 ,30822 ,25017 ,31021 ,40410 ,339930 
50 ,154 ,COLORADO SPRINGS N,-104.77995,38.9058,C,1, ,554 ,50 ,22094 ,23088 ,30224 ,22839 ,21896 ,29932 ,25295 ,26902 ,29316 ,23794 ,29505 ,38435 ,323319 
51 ,158 ,BEAUMONT,-94.15,30.15,B,7, ,578 ,199 ,31546 ,32966 ,43154 ,32609 ,31264 ,42737 ,36117 ,38411 ,41858 ,33974 ,42128 ,54878 ,461642 
52 ,162 ,N. LITTLE ROCK,-92.25,34.8,C,4, ,3803 ,456 ,23343 ,24394 ,31933 ,24130 ,23134 ,31624 ,26725 ,28423 ,30973 ,25140 ,31173 ,40608 ,341600 
53 ,164 ,CASPER,-106.28,42.84,D,1, ,554 ,386 ,14338 ,14983 ,19614 ,14821 ,14210 ,19424 ,16415 ,17458 ,19024 ,15441 ,19147 ,24942 ,209817 
54 ,167 ,ALEXANDRIA,-92.48,31.25,C,7, ,578 ,218 ,22807 ,23833 ,31199 ,23576 ,22603 ,30898 ,26111 ,27770 ,30262 ,24562 ,30457 ,39675 ,333753 
